o_zone_id,d_zone_id,volume
2400,2400,46.36
2400,2401,0.45
2400,2402,3.25
2400,3723,8.06
2400,3724,24.89
2400,3725,11.89
2400,3726,27.9
2401,2400,0.43
2401,2401,1.69
2401,2402,0.93
2401,3723,1.27
2401,3724,2.65
2401,3725,2.42
2401,3726,2.27
2402,2400,3.3
2402,2401,0.96
2402,2402,30.16
2402,3723,4.91
2402,3724,27.48
2402,3725,11.23
2402,3726,18.73
3723,2400,8.27
3723,2401,2.56
3723,2402,4.42
3723,3724,70.89
3723,3725,77.47
3723,3726,25.82
3724,2400,29.78
3724,2401,2.5
3724,2402,32.21
3724,3723,62.11
3724,3726,16.61
3725,2400,10.59
3725,2401,3.12
3725,2402,9.97
3725,3723,44.61
3725,3726,57.07
3726,2400,37.08
3726,2401,2.16
3726,2402,23.15
3726,3723,4.36
3726,3724,24.55
3726,3725,64.18
o_zone_id,d_zone_id,volume
2400,2400,46.36
2400,2401,0.45
2400,2402,3.25
2400,3723,8.06
2400,3724,24.89
2400,3725,11.89
2400,3726,27.9
2401,2400,0.43
2401,2401,1.69
2401,2402,0.93
2401,3723,1.27
2401,3724,2.65
2401,3725,2.42
2401,3726,2.27
2402,2400,3.3
2402,2401,0.96
2402,2402,30.16
2402,3723,4.91
2402,3724,27.48
2402,3725,11.23
2402,3726,18.73
3723,2400,8.27
3723,2401,2.56
3723,2402,4.42
3723,3724,70.89
3723,3725,77.47
3723,3726,25.82
3724,2400,29.78
3724,2401,2.5
3724,2402,32.21
3724,3723,62.11
3724,3726,16.61
3725,2400,10.59
3725,2401,3.12
3725,2402,9.97
3725,3723,44.61
3725,3726,57.07
3726,2400,37.08
3726,2401,2.16
3726,2402,23.15
3726,3723,4.36
3726,3724,24.55
3726,3725,64.18
o_zone_id,d_zone_id,volume
2400,2400,46.36
2400,2401,0.45
2400,2402,3.25
2400,3723,8.06
2400,3724,24.89
2400,3725,11.89
2400,3726,27.9
2401,2400,0.43
2401,2401,1.69
2401,2402,0.93
2401,3723,1.27
2401,3724,2.65
2401,3725,2.42
2401,3726,2.27
2402,2400,3.3
2402,2401,0.96
2402,2402,30.16
2402,3723,4.91
2402,3724,27.48
2402,3725,11.23
2402,3726,18.73
3723,2400,8.27
3723,2401,2.56
3723,2402,4.42
3723,3724,70.89
3723,3725,77.47
3723,3726,25.82
3724,2400,29.78
3724,2401,2.5
3724,2402,32.21
3724,3723,62.11
3724,3726,16.61
3725,2400,10.59
3725,2401,3.12
3725,2402,9.97
3725,3723,44.61
3725,3726,57.07
3726,2400,37.08
3726,2401,2.16
3726,2402,23.15
3726,3723,4.36
3726,3724,24.55
3726,3725,64.18
o_zone_id,d_zone_id,volume
2400,2400,46.36
2400,2401,0.45
2400,2402,3.25
2400,3723,8.06
2400,3724,24.89
2400,3725,11.89
2400,3726,27.9
2401,2400,0.43
2401,2401,1.69
2401,2402,0.93
2401,3723,1.27
2401,3724,2.65
2401,3725,2.42
2401,3726,2.27
2402,2400,3.3
2402,2401,0.96
2402,2402,30.16
2402,3723,4.91
2402,3724,27.48
2402,3725,11.23
2402,3726,18.73
3723,2400,8.27
3723,2401,2.56
3723,2402,4.42
3723,3724,70.89
3723,3725,77.47
3723,3726,25.82
3724,2400,29.78
3724,2401,2.5
3724,2402,32.21
3724,3723,62.11
3724,3726,16.61
3725,2400,10.59
3725,2401,3.12
3725,2402,9.97
3725,3723,44.61
3725,3726,57.07
3726,2400,37.08
3726,2401,2.16
3726,2402,23.15
3726,3723,4.36
3726,3724,24.55
3726,3725,64.18
